id,name,deadline_time,release_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,ranked_count,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2024-08-16T17:30:00Z,,57,True,True,3546234.0,1723829400,0,127.0,False,False,False,False,False,8597356,"[{'chip_name': 'bboost', 'num_played': 144974}, {'chip_name': '3xc', 'num_played': 221430}]",401.0,27.0,328.0,"{'id': 328, 'points': 14}",0,351.0,351.0
2,Gameweek 2,2024-08-24T10:00:00Z,,69,True,True,9442126.0,1724493600,0,154.0,False,False,False,True,True,9543353,"[{'chip_name': 'bboost', 'num_played': 118782}, {'chip_name': 'freehit', 'num_played': 102788}, {'chip_name': 'wildcard', 'num_played': 217521}, {'chip_name': '3xc', 'num_played': 612384}]",401.0,594.0,177.0,"{'id': 177, 'points': 20}",13364453,351.0,401.0
3,Gameweek 3,2024-08-31T10:00:00Z,,64,True,True,430195.0,1725098400,0,130.0,False,False,False,True,True,9912161,"[{'chip_name': 'bboost', 'num_played': 87334}, {'chip_name': 'freehit', 'num_played': 140192}, {'chip_name': 'wildcard', 'num_played': 656652}, {'chip_name': '3xc', 'num_played': 186907}]",351.0,177.0,328.0,"{'id': 328, 'points': 17}",23723836,351.0,328.0
4,Gameweek 4,2024-09-14T10:00:00Z,,51,True,True,3560750.0,1726308000,0,120.0,True,False,False,True,True,10178753,"[{'chip_name': 'bboost', 'num_played': 83637}, {'chip_name': 'freehit', 'num_played': 125561}, {'chip_name': 'wildcard', 'num_played': 940783}, {'chip_name': '3xc', 'num_played': 199688}]",351.0,129.0,185.0,"{'id': 185, 'points': 15}",25930392,351.0,328.0
5,Gameweek 5,2024-09-21T10:00:00Z,,58,True,True,1773336.0,1726912800,0,131.0,False,True,False,True,True,10279610,"[{'chip_name': 'bboost', 'num_played': 66447}, {'chip_name': 'freehit', 'num_played': 79498}, {'chip_name': 'wildcard', 'num_played': 311710}, {'chip_name': '3xc', 'num_played': 71288}]",351.0,58.0,180.0,"{'id': 180, 'points': 16}",13036058,351.0,351.0
6,Gameweek 6,2024-09-28T10:00:00Z,,0,False,False,,1727517600,0,,False,False,True,True,True,0,[],,,,,0,,
7,Gameweek 7,2024-10-05T10:00:00Z,,0,False,False,,1728122400,0,,False,False,False,False,False,0,[],,,,,0,,
8,Gameweek 8,2024-10-19T10:00:00Z,,0,False,False,,1729332000,0,,False,False,False,False,False,0,[],,,,,0,,
9,Gameweek 9,2024-10-25T17:30:00Z,,0,False,False,,1729877400,0,,False,False,False,False,False,0,[],,,,,0,,
10,Gameweek 10,2024-11-02T11:00:00Z,,0,False,False,,1730545200,0,,False,False,False,False,False,0,[],,,,,0,,
11,Gameweek 11,2024-11-09T13:30:00Z,,0,False,False,,1731159000,0,,False,False,False,False,False,0,[],,,,,0,,
12,Gameweek 12,2024-11-23T11:00:00Z,,0,False,False,,1732359600,0,,False,False,False,False,False,0,[],,,,,0,,
13,Gameweek 13,2024-11-29T18:30:00Z,,0,False,False,,1732905000,0,,False,False,False,False,False,0,[],,,,,0,,
14,Gameweek 14,2024-12-03T18:15:00Z,,0,False,False,,1733249700,0,,False,False,False,False,False,0,[],,,,,0,,
15,Gameweek 15,2024-12-07T13:30:00Z,,0,False,False,,1733578200,0,,False,False,False,False,False,0,[],,,,,0,,
16,Gameweek 16,2024-12-14T13:30:00Z,,0,False,False,,1734183000,0,,False,False,False,False,False,0,[],,,,,0,,
17,Gameweek 17,2024-12-21T13:30:00Z,,0,False,False,,1734787800,0,,False,False,False,False,False,0,[],,,,,0,,
18,Gameweek 18,2024-12-26T13:30:00Z,,0,False,False,,1735219800,0,,False,False,False,False,False,0,[],,,,,0,,
19,Gameweek 19,2024-12-29T13:30:00Z,,0,False,False,,1735479000,0,,False,False,False,False,False,0,[],,,,,0,,
20,Gameweek 20,2025-01-04T13:30:00Z,,0,False,False,,1735997400,0,,False,False,False,False,False,0,[],,,,,0,,
21,Gameweek 21,2025-01-14T18:15:00Z,,0,False,False,,1736878500,0,,False,False,False,False,False,0,[],,,,,0,,
22,Gameweek 22,2025-01-18T13:30:00Z,,0,False,False,,1737207000,0,,False,False,False,False,False,0,[],,,,,0,,
23,Gameweek 23,2025-01-25T13:30:00Z,,0,False,False,,1737811800,0,,False,False,False,False,False,0,[],,,,,0,,
24,Gameweek 24,2025-02-01T13:30:00Z,,0,False,False,,1738416600,0,,False,False,False,False,False,0,[],,,,,0,,
25,Gameweek 25,2025-02-15T13:30:00Z,,0,False,False,,1739626200,0,,False,False,False,False,False,0,[],,,,,0,,
26,Gameweek 26,2025-02-22T13:30:00Z,,0,False,False,,1740231000,0,,False,False,False,False,False,0,[],,,,,0,,
27,Gameweek 27,2025-02-25T18:15:00Z,,0,False,False,,1740507300,0,,False,False,False,False,False,0,[],,,,,0,,
28,Gameweek 28,2025-03-08T13:30:00Z,,0,False,False,,1741440600,0,,False,False,False,False,False,0,[],,,,,0,,
29,Gameweek 29,2025-03-15T13:30:00Z,,0,False,False,,1742045400,0,,False,False,False,False,False,0,[],,,,,0,,
30,Gameweek 30,2025-04-01T17:15:00Z,,0,False,False,,1743527700,0,,False,False,False,False,False,0,[],,,,,0,,
31,Gameweek 31,2025-04-05T12:30:00Z,,0,False,False,,1743856200,0,,False,False,False,False,False,0,[],,,,,0,,
32,Gameweek 32,2025-04-12T12:30:00Z,,0,False,False,,1744461000,0,,False,False,False,False,False,0,[],,,,,0,,
33,Gameweek 33,2025-04-19T12:30:00Z,,0,False,False,,1745065800,0,,False,False,False,False,False,0,[],,,,,0,,
34,Gameweek 34,2025-04-26T12:30:00Z,,0,False,False,,1745670600,0,,False,False,False,False,False,0,[],,,,,0,,
35,Gameweek 35,2025-05-03T12:30:00Z,,0,False,False,,1746275400,0,,False,False,False,False,False,0,[],,,,,0,,
36,Gameweek 36,2025-05-10T12:30:00Z,,0,False,False,,1746880200,0,,False,False,False,False,False,0,[],,,,,0,,
37,Gameweek 37,2025-05-18T12:30:00Z,,0,False,False,,1747571400,0,,False,False,False,False,False,0,[],,,,,0,,
38,Gameweek 38,2025-05-25T13:30:00Z,,0,False,False,,1748179800,0,,False,False,False,False,False,0,[],,,,,0,,
