id,event,finished,kickoff_time,minutes,started,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
1,1,True,2024-08-16T19:00:00Z,90,True,9,0,14,1,2,3
2,1,True,2024-08-17T14:00:00Z,90,True,20,0,1,2,2,5
3,1,True,2024-08-17T14:00:00Z,90,True,5,3,8,0,2,3
4,1,True,2024-08-17T11:30:00Z,90,True,12,2,10,0,4,2
5,1,True,2024-08-17T14:00:00Z,90,True,17,0,15,1,2,4
6,1,True,2024-08-17T14:00:00Z,90,True,3,1,16,1,2,2
7,1,True,2024-08-17T16:30:00Z,90,True,2,2,19,1,3,2
8,1,True,2024-08-18T13:00:00Z,90,True,7,1,4,2,2,2
9,1,True,2024-08-18T15:30:00Z,90,True,13,2,6,0,5,4
10,1,True,2024-08-19T19:00:00Z,90,True,18,1,11,1,3,2
11,2,True,2024-08-24T16:30:00Z,90,True,1,2,2,0,5,4
12,2,True,2024-08-25T13:00:00Z,90,True,15,1,3,1,3,2
13,2,True,2024-08-24T11:30:00Z,90,True,14,1,5,2,3,2
14,2,True,2024-08-24T14:00:00Z,90,True,19,2,7,0,2,3
15,2,True,2024-08-24T14:00:00Z,90,True,11,1,9,2,2,3
16,2,True,2024-08-25T15:30:00Z,90,True,4,0,12,2,2,5
17,2,True,2024-08-24T14:00:00Z,90,True,10,1,13,4,2,5
18,2,True,2024-08-24T14:00:00Z,90,True,16,1,17,0,2,2
19,2,True,2024-08-24T14:00:00Z,90,True,8,0,18,4,2,4
20,2,True,2024-08-25T13:00:00Z,90,True,6,6,20,2,3,2
21,3,True,2024-08-31T11:30:00Z,90,True,5,1,1,1,2,5
22,3,True,2024-08-31T14:00:00Z,90,True,17,1,4,3,2,2
23,3,True,2024-09-01T12:30:00Z,90,True,7,1,6,1,2,4
24,3,True,2024-08-31T14:00:00Z,90,True,3,3,8,2,2,3
25,3,True,2024-08-31T14:00:00Z,90,True,9,1,10,1,2,2
26,3,True,2024-08-31T14:00:00Z,90,True,2,2,11,1,3,2
27,3,True,2024-09-01T15:00:00Z,90,True,12,3,14,0,4,3
28,3,True,2024-09-01T12:30:00Z,90,True,18,1,15,2,3,4
29,3,True,2024-08-31T14:00:00Z,90,True,20,1,16,1,2,2
30,3,True,2024-08-31T16:30:00Z,90,True,13,3,19,1,5,2
31,4,True,2024-09-14T16:30:00Z,90,True,8,2,2,3,2,4
32,4,True,2024-09-14T19:00:00Z,90,True,6,1,3,0,3,2
33,4,True,2024-09-14T14:00:00Z,90,True,10,0,5,0,2,2
34,4,True,2024-09-14T14:00:00Z,90,True,11,2,7,2,2,3
35,4,True,2024-09-14T14:00:00Z,90,True,19,1,9,1,2,3
36,4,True,2024-09-14T14:00:00Z,90,True,16,1,12,0,2,5
37,4,True,2024-09-14T14:00:00Z,90,True,4,1,13,2,2,5
38,4,True,2024-09-14T11:30:00Z,90,True,14,3,17,0,3,2
39,4,True,2024-09-15T13:00:00Z,90,True,1,1,18,0,5,4
40,4,True,2024-09-15T15:30:00Z,90,True,15,2,20,1,3,2
41,5,False,2024-09-21T14:00:00Z,0,False,20,,2,,2,4
42,5,False,2024-09-22T13:00:00Z,0,False,16,,5,,2,2
43,5,False,2024-09-21T16:30:00Z,0,False,14,,7,,3,3
44,5,False,2024-09-21T14:00:00Z,0,False,15,,9,,3,3
45,5,False,2024-09-21T14:00:00Z,0,False,8,,11,,2,2
46,5,False,2024-09-21T14:00:00Z,0,False,3,,12,,2,5
47,5,False,2024-09-22T15:30:00Z,0,False,1,,13,,5,5
