id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,highest_score,is_previous,is_current,is_next,most_selected,most_transferred_in,top_element,transfers_made,most_captained,most_vice_captained,Benchboost,Triple Captain,Wildcard,Freehit,top_element_points
1,Gameweek 1,2024-08-16T17:30:00Z,57,True,True,3546234,127,False,False,False,401,27,328,0,351,351,144974,221430,,,14
2,Gameweek 2,2024-08-24T10:00:00Z,69,True,True,9442126,154,False,False,False,401,594,177,13364453,351,401,118782,612384,217521,102788,20
3,Gameweek 3,2024-08-31T10:00:00Z,64,True,True,430195,130,True,False,False,351,177,328,23723836,351,328,87334,186907,656652,140192,17
4,Gameweek 4,2024-09-14T10:00:00Z,51,True,True,3560750,120,False,True,False,351,129,185,25930392,351,328,83637,199688,940783,125561,15
5,Gameweek 5,2024-09-21T10:00:00Z,0,False,False,,,False,False,True,,,,1697626,,,13333,14743,43674,10366,
6,Gameweek 6,2024-09-28T10:00:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
7,Gameweek 7,2024-10-05T10:00:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
8,Gameweek 8,2024-10-19T10:00:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
9,Gameweek 9,2024-10-25T17:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
10,Gameweek 10,2024-11-02T11:00:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
11,Gameweek 11,2024-11-09T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
12,Gameweek 12,2024-11-23T11:00:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
13,Gameweek 13,2024-11-29T18:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
14,Gameweek 14,2024-12-03T18:15:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
15,Gameweek 15,2024-12-07T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
16,Gameweek 16,2024-12-14T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
17,Gameweek 17,2024-12-21T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
18,Gameweek 18,2024-12-26T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
19,Gameweek 19,2024-12-29T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
20,Gameweek 20,2025-01-04T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
21,Gameweek 21,2025-01-14T18:15:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
22,Gameweek 22,2025-01-18T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
23,Gameweek 23,2025-01-25T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
24,Gameweek 24,2025-02-01T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
25,Gameweek 25,2025-02-15T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
26,Gameweek 26,2025-02-22T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
27,Gameweek 27,2025-02-25T18:15:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
28,Gameweek 28,2025-03-08T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
29,Gameweek 29,2025-03-15T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
30,Gameweek 30,2025-04-01T17:15:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
31,Gameweek 31,2025-04-05T12:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
32,Gameweek 32,2025-04-12T12:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
33,Gameweek 33,2025-04-19T12:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
34,Gameweek 34,2025-04-26T12:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
35,Gameweek 35,2025-05-03T12:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
36,Gameweek 36,2025-05-10T12:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
37,Gameweek 37,2025-05-18T12:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
38,Gameweek 38,2025-05-25T13:30:00Z,0,False,False,,,False,False,False,,,,0,,,,,,,
