id,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,points_per_game,second_name,selected_by_percent,team,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,singular_name_short
1,0.0,0.0,0,0.0,0.0,0,Fábio,0.0,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,0.0,Ferreira Vieira,0.0,1,0,439,0,2394,139,0.0,0.0,Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID
2,100.0,100.0,0,0.3,1.3,1,Gabriel,0.3,False,,2024-08-25T11:00:05.312580Z,68,0.5,Fernando de Jesus,0.9,1,1,23355,5950,175786,4310,0.0,0.1,G.Jesus,15,0,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.28,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,FWD
3,,,1,7.7,8.7,15,Gabriel,7.7,True,,,60,7.2,dos Santos Magalhães,13.0,1,29,311811,127368,351207,27008,1.3,4.8,Gabriel,360,1,0,3,1,0,0,0,1,0,0,4,4,0.51,0.05,0.56,4.32,0.13,0.0,0.01,0.14,1.08,0.25,1.0,0.75,DEF
4,,,1,4.0,5.0,2,Kai,4.0,False,,,81,6.0,Havertz,17.2,1,24,1036954,76521,748664,128822,0.5,3.0,Havertz,360,2,1,3,1,0,0,0,0,0,0,5,4,1.57,0.12,1.69,4.32,0.39,0.0,0.03,0.42,1.08,0.25,1.0,0.75,FWD
5,0.0,0.0,0,0.0,0.0,0,Karl,0.0,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,0.0,Hein,0.0,1,0,0,0,2602,171,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GKP
6,,,0,4.0,5.0,5,Jurriën,4.0,False,,,55,3.2,Timber,1.2,1,13,68859,17139,52028,7069,0.7,2.4,J.Timber,268,0,0,2,1,0,0,0,2,0,0,0,3,0.07,0.05,0.12,3.56,0.02,0.0,0.02,0.04,1.2,0.34,1.01,0.67,DEF
7,,,0,0.7,1.7,2,Jorge Luiz,0.7,False,,,49,2.0,Frello Filho,0.3,1,2,12544,1900,21207,1798,0.1,0.4,Jorginho,90,0,0,1,0,0,0,0,1,0,0,0,1,0.00,0.00,0.00,0.74,0.0,0.0,0.0,0.0,0.74,0.0,1.0,1.0,MID
8,,,0,0.0,1.0,0,Jakub,0.0,False,,,49,0.0,Kiwior,0.1,1,0,2534,326,10397,867,0.0,0.0,Kiwior,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEF
9,,,0,2.3,3.3,3,Gabriel,2.3,False,,,69,2.5,Martinelli Silva,1.9,1,10,56943,5319,168567,14048,0.3,1.4,Martinelli,249,0,0,3,0,0,0,0,0,0,0,0,3,0.25,0.74,0.99,2.85,0.09,0.0,0.27,0.36,1.03,0.0,1.08,1.08,MID
12,,,0,0.3,1.3,1,Ethan,0.3,False,,,45,1.0,Nwaneri,0.3,1,1,17093,2770,14025,1787,0.1,0.2,Nwaneri,4,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.09,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,MID
