element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
1,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,2923,0,0,0,0.00,0.00,0.00,0.00
1,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-790,2321,84,874,0,0.00,0.00,0.00,0.00
1,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-279,2397,355,634,0,0.00,0.00,0.00,0.00
1,39,18,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-747,1650,0,747,0,0.00,0.00,0.00,0.00
2,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.8,0.0,0.1,70,0,199810,0,0,0,0.00,0.00,0.00,0.15
2,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-53975,176166,12170,66145,0,0.00,0.00,0.00,0.00
2,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-72583,106691,3238,75821,0,0.00,0.00,0.00,0.00
2,39,18,1,False,2024-09-15T13:00:00Z,0,1,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,68,-27513,82577,1997,29510,0,0.00,0.00,0.00,0.13
3,2,20,6,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,22,13.8,1.4,8.0,2.3,60,0,1167503,0,0,1,0.12,0.02,0.14,0.47
3,11,2,6,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,1,0,0,1,25,21.4,1.9,0.0,2.3,60,-25184,1248259,36723,61907,1,0.00,0.02,0.02,1.28
3,21,5,2,True,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,17,20.8,20.8,9.0,5.1,60,853,1296327,86679,85826,1,0.12,0.01,0.13,1.83
3,39,18,15,False,2024-09-15T13:00:00Z,0,1,4,90,1,0,1,0,0,0,0,0,0,0,3,40,58.0,0.7,35.0,9.4,60,-115425,1208425,61041,176466,1,0.27,0.00,0.27,0.74
4,2,20,12,True,2024-08-17T14:00:00Z,2,0,1,90,1,1,1,0,0,0,0,0,0,0,3,48,54.8,24.1,46.0,12.5,80,0,1087445,0,0,1,0.45,0.04,0.49,0.47
4,11,2,2,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,-2,0.0,6.1,15.0,2.0,81,285826,1638743,350954,65128,1,0.21,0.03,0.24,1.28
4,21,5,8,True,2024-08-31T11:30:00Z,1,1,3,90,1,0,0,1,0,0,0,0,0,0,2,34,47.0,24.8,30.0,10.2,81,63441,1755160,307787,244346,1,0.77,0.05,0.82,1.83
4,39,18,2,False,2024-09-15T13:00:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,0,0,9,19.2,5.4,36.0,6.1,81,-8676,1804099,301692,310368,1,0.14,0.00,0.14,0.74
5,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,7300,0,0,0,0.00,0.00,0.00,0.00
5,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1230,6016,0,1230,0,0.00,0.00,0.00,0.00
5,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-706,5334,0,706,0,0.00,0.00,0.00,0.00
5,39,18,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-495,4862,0,495,0,0.00,0.00,0.00,0.00
6,2,20,1,True,2024-08-17T14:00:00Z,2,0,1,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,8.0,0.8,55,0,73714,0,0,0,0.02,0.01,0.03,0.15
6,11,2,6,False,2024-08-24T16:30:00Z,0,2,2,78,0,0,1,0,0,0,0,0,0,0,0,24,3.4,4.7,2.0,1.0,55,-7683,77673,4299,11982,1,0.00,0.01,0.01,1.12
6,21,5,1,True,2024-08-31T11:30:00Z,1,1,3,79,0,0,0,1,0,0,0,1,0,0,0,3,12.8,10.6,4.0,2.7,55,14520,102931,28883,14363,1,0.00,0.02,0.02,1.55
6,39,18,5,False,2024-09-15T13:00:00Z,0,1,4,90,0,0,1,0,0,0,0,1,0,0,0,20,13.4,1.1,7.0,2.2,55,-76,106693,18538,18614,1,0.05,0.01,0.06,0.74
7,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,25861,0,0,0,0.00,0.00,0.00,0.00
7,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4149,28506,2615,6764,0,0.00,0.00,0.00,0.00
7,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3634,27279,3276,6910,0,0.00,0.00,0.00,0.00
7,39,18,2,False,2024-09-15T13:00:00Z,0,1,4,90,0,0,1,0,0,0,0,1,0,0,0,0,0.4,1.8,0.0,0.2,49,-982,28424,4753,5735,1,0.00,0.00,0.00,0.74
8,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,16779,0,0,0,0.00,0.00,0.00,0.00
8,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3242,17038,708,3950,0,0.00,0.00,0.00,0.00
8,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-2401,15992,828,3229,0,0.00,0.00,0.00,0.00
8,39,18,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1679,15388,672,2351,0,0.00,0.00,0.00,0.00
9,2,20,3,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,16,13.6,36.7,25.0,7.5,70,0,253825,0,0,1,0.08,0.19,0.27,0.47
9,11,2,3,False,2024-08-24T16:30:00Z,0,2,2,64,0,0,1,0,0,0,0,0,0,0,0,9,6.4,26.3,10.0,4.3,70,-12758,275265,21172,33930,1,0.00,0.41,0.41,1.12
9,21,5,1,True,2024-08-31T11:30:00Z,1,1,3,16,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.0,70,-35321,249418,21818,57139,0,0.00,0.00,0.00,0.65
9,39,18,3,False,2024-09-15T13:00:00Z,0,1,4,79,0,0,1,0,0,0,0,0,0,0,0,18,22.8,25.6,31.0,7.9,69,-54816,200769,8634,63450,1,0.17,0.14,0.31,0.61
12,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,16484,0,0,0,0.00,0.00,0.00,0.00
12,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-452,20276,2466,2918,0,0.00,0.00,0.00,0.00
12,21,5,0,True,2024-08-31T11:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-497,21665,3931,4428,0,0.00,0.00,0.00,0.00
12,39,18,1,False,2024-09-15T13:00:00Z,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,5,8.2,0.4,0.0,0.9,45,3034,26639,7926,4892,0,0.00,0.00,0.00,0.09
13,2,20,3,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,16,15.0,24.0,15.0,5.4,85,0,1391537,0,0,1,0.02,0.06,0.08,0.47
13,11,2,2,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,1,0,0,0,4,9.4,34.2,20.0,6.4,85,-127842,1384608,28847,156689,1,0.26,0.60,0.86,1.28
13,21,5,2,True,2024-08-31T11:30:00Z,1,1,3,73,0,0,0,1,0,0,0,0,0,0,0,9,10.0,16.8,25.0,5.2,84,-209302,1210007,52692,261994,1,0.18,0.08,0.26,1.18
13,39,18,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-509232,715216,16076,525308,0,0.00,0.00,0.00,0.00
15,2,20,8,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,3,1,28,28.0,0.0,0.0,2.8,55,0,2143198,0,0,1,0.00,0.00,0.00,0.47
15,11,2,10,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,3,3,27,28.2,0.0,0.0,2.8,55,-16603,2377063,71675,88278,1,0.00,0.00,0.00,1.28
15,21,5,2,True,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,1,0,3,0,8,33.6,0.0,0.0,3.4,55,288962,2865351,394083,105121,1,0.00,0.01,0.01,1.83
15,39,18,9,False,2024-09-15T13:00:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,5,2,33,41.0,0.0,0.0,4.1,55,-96805,2823889,175717,272522,1,0.00,0.00,0.00,0.74
16,2,20,3,True,2024-08-17T14:00:00Z,2,0,1,84,0,0,1,0,0,0,0,0,0,0,0,9,6.6,13.4,8.0,2.8,65,0,552723,0,0,1,0.09,0.05,0.14,0.32
16,11,2,2,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,1,0,0,0,18,18.8,12.3,21.0,5.2,65,-44297,573607,25416,69713,1,0.07,0.11,0.18,1.28
16,21,5,-2,True,2024-08-31T11:30:00Z,1,1,3,48,0,0,0,1,0,0,0,0,1,0,0,-10,0.0,1.7,6.0,0.1,64,-77123,515468,20951,98074,1,0.03,0.03,0.06,0.08
16,39,18,0,False,2024-09-15T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-213586,302817,1443,215029,0,0.00,0.00,0.00,0.00
17,2,20,12,True,2024-08-17T14:00:00Z,2,0,1,79,1,1,1,0,0,0,0,1,0,0,2,42,64.2,61.7,78.0,20.4,100,0,2763895,0,0,1,0.35,0.37,0.72,0.32
17,11,2,6,False,2024-08-24T16:30:00Z,0,2,2,87,0,1,1,0,0,0,0,0,0,0,0,21,27.8,27.4,27.0,8.2,100,141942,3227441,240288,98346,1,0.05,0.10,0.15,1.25
17,21,5,6,True,2024-08-31T11:30:00Z,1,1,3,90,0,1,0,1,0,0,0,0,0,0,1,21,34.8,21.2,88.0,14.4,101,99888,3421437,349415,249527,1,0.95,0.20,1.15,1.83
17,39,18,7,False,2024-09-15T13:00:00Z,0,1,4,85,0,1,1,0,0,0,0,0,0,0,1,25,27.0,35.0,13.0,7.5,101,-374238,3080836,222878,597116,1,0.05,0.35,0.40,0.65
18,2,20,6,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,26,14.8,0.9,0.0,1.6,60,0,3490919,0,0,1,0.00,0.00,0.00,0.47
18,11,2,6,False,2024-08-24T16:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,24,23.8,1.2,0.0,2.5,60,-54391,3770895,71155,125546,1,0.00,0.01,0.01,1.28
18,21,5,2,True,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,10,22.0,1.3,0.0,2.3,60,16354,3954073,186343,169989,1,0.00,0.01,0.01,1.83
18,39,18,5,False,2024-09-15T13:00:00Z,0,1,4,90,0,0,1,0,0,0,0,1,0,0,0,22,8.2,0.4,2.0,1.1,60,-294232,3736254,95758,389990,1,0.00,0.01,0.01,0.74
20,2,20,3,True,2024-08-17T14:00:00Z,2,0,1,90,0,0,1,0,0,0,0,0,0,0,0,16,14.4,43.6,1.0,5.9,50,0,6975,0,0,1,0.06,0.06,0.12,0.47
20,11,2,11,False,2024-08-24T16:30:00Z,0,2,2,90,1,0,1,0,0,0,0,0,0,0,3,27,39.4,7.5,8.0,5.5,50,2274,14479,4346,2072,1,0.10,0.08,0.18,1.28
20,21,5,1,True,2024-08-31T11:30:00Z,1,1,3,90,0,0,0,1,0,0,0,1,0,0,0,8,17.0,0.6,0.0,1.8,50,98705,147597,120463,21758,1,0.00,0.00,0.00,1.83
20,39,18,3,False,2024-09-15T13:00:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,0,0,12,20.0,2.8,0.0,2.3,50,3221,152755,38742,35521,1,0.00,0.07,0.07,0.74
21,2,20,0,True,2024-08-17T14:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,5469,0,0,0,0.00,0.00,0.00,0.00
21,11,2,0,False,2024-08-24T16:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1732,3883,52,1784,0,0.00,0.00,0.00,0.00
